,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
316,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,24-06-2024
317,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,24-06-2024
318,09-06-2024,Nilganj Adaptation Clinic,Goiatola,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,24-06-2024
319,09-06-2024,Nilganj Adaptation Clinic,Mokimpur,Nilganj,-,GI wire must be installed in vegetable trellis,Farmers Field,26.6.24
320,09-06-2024,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,Yellow sticky trap and pheromone trap should installed properly,Farmers Field,30.6.24
321,09-06-2024,Nilganj Adaptation Clinic,Purbo Sonatola,Nilganj,Bitter gourd plant damage in some place,The gap should be fiiled quickly by making seedling at home.,Farmers Field,24.06.24
322,09-06-2024,Nilganj Adaptation Clinic,Purbo Sonatola,Nilganj,Bitter gourd plant damage in some place,The gap should be fiiled quickly by making seedling at home.,Farmers Field,24.06.25
323,11.06.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Seedling nurishing,Stick should be attached with seedling.,Farmers Field,30.06.24
324,11.06.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Seedling nurishing,Stick should be attached with seedling and weeding should be done.,Farmers Field,30.06.24
325,11.06.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Leaf curl of bitter gourd,It is recommended to spray Imidaclopid .,Farmers Field,30.06.24
326,12.6.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Sticking needs to be set up with bitter gourd seedling,Farmers Field,30.6.24
327,12.6.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,Seedbed should be prepared within July month,Farmers Field,30.6.24
328,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,Aman Rice seed bed preparation procedure,Must be select high land for seed bed preparation and make ensure proper drainage system,Farmers Field,
329,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,vegetable cultivation technology related problem,Manure should be apply in the vegetables bed.,Mobile Adaptation Clinic,
330,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,weeds in vegetables field,Weeds should be cleaned off the vegetable bed,Mobile Adaptation Clinic,
331,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Manure should be apply in the vegetables bed.,Mobile Adaptation Clinic,
332,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,Cowdung wet in Vermicompost Chamber,Cowdung should be change from the chamber and chamber cover with polythene.,Mobile Adaptation Clinic,
333,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,
334,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,
335,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,
336,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Must be select high land for Aman seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,
337,12.06.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,vegetable cultivation technology related problem,Weeds should be cleaned off the vegetable bed and provide trellis,Mobile Adaptation Clinic,
338,19.6.24,Nilganj Adaptation Clinic,Dokkhin Doulatpur,Nilganj,-,Seedbed should be prepared within July month,Farmers Field,30.6.24
339,19.6.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,Regulated fungicide spray should be done after heavy rain,Farmers Field,2.7.24
340,19.6.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,Weeds should be cleaned off the vegetable bed,Farmers Field,2.7.24
341,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,vegetable cultivation technology related problem,For vegetables cultivation bed should be high and ensure proper drainage system,Mobile Adaptation Clinic,14.07.24
342,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,Weeds in vegetables field,Weeding should be done by hand hoe,Mobile Adaptation Clinic,14.07.24
343,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,vegetable cultivation technology related problem,Yellow Trap and Pheromone trap,Mobile Adaptation Clinic,14.07.24
344,23.06.24,Nilganj Adaptation Clinic,Jalalpur,Nilganj,Yellowish leaf of chili,Spray 2g Mancogev mixed with 1L water,Mobile Adaptation Clinic,14.07.24
345,23.06.24,Nilganj Adaptation Clinic,Jalalpur,Nilganj,Yellowish leaf of Bitter gourd,Excessive water should be remove from bed and Spray 2g Mancogev mixed with 1L water,Mobile Adaptation Clinic,14.07.24
346,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,leaf Curl of chilli,1kg half crushed neem seed soaked in 20L water for 24 Hours then spray the water in the field,Mobile Adaptation Clinic,14.07.24
347,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,leaf Curl of chilli,1kg half crushed neem seed soaked in 20L water for 24 Hours then spray the water in the field,Mobile Adaptation Clinic,14.07.24
348,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,Leaf Curl of Bitter gourd,Excessive water should be remove from bed and spray Emadacloropid insecticide,Mobile Adaptation Clinic,14.07.24
349,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,Leaf Curl of Bitter gourd,Excessive water should be remove from bed and spray Emadacloropid insecticide,Mobile Adaptation Clinic,14.07.24
350,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,How to prepare bed for aman seed,Must be select high land for Aman seed bed preparation and make ensure proper drainage system,Mobile Adaptation Clinic,14.07.24
351,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.,Mobile Adaptation Clinic,14.07.24
352,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,Yellowish leaf of bitter gourd,Excessive water should be remove from bed and Spray 2g Mancogev mixed with 1L water,Mobile Adaptation Clinic,14.07.24
353,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.,Mobile Adaptation Clinic,14.07.24
354,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.,Mobile Adaptation Clinic,14.07.24
355,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.,Mobile Adaptation Clinic,14.07.24
356,23.06.24,Nilganj Adaptation Clinic,Mojidbaria,Nilganj,To knowledge about Aman rice seedbed,Aman seed should be sown in the seedbed within 15 july.,Mobile Adaptation Clinic,14.07.24
357,23.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Leaf curl of bitter gourd,It is recommended to spray Imidaclopid .,Farmers Field,02.07.24
358,23.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Problem in vegetable bed preparation,To drain out water from bed a deep canal should be made between two bed.,Farmers Field,02.07.24
359,24.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,YLB leaf attack by fungus,Spraying Propiconazol group fungicide at the rate of 0.5mm in late afternoon.,Adaptation clinic,03.07.24
360,25.06.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Leaf curl of bitter gourd,Spraying Imidaclopid group insecticide at the rate of 1ml/1L water,Adaptation clinic,04.07.24
361,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly attack in bitter gourd field,Pheromone trap and yellow sticky trap should be placed in field as soon as possible,Mobile Adaptation Clinic,11.07.24
362,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Bitter gourd leaf being yellowish along with stem,Weeding should be done within two days and spray mancozeb group fungicide,Mobile Adaptation Clinic,11.07.24
363,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,bottom part of bitter gourd is being rotten and leaf burn,Affected leaf should be destroyed and spray mancozeb+ carbendazim group fungicide if necessary,Mobile Adaptation Clinic,11.07.24
364,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Slower growth of plant in some place,Weeding should be done and Pheromone trap and yellow sticky trap should be placed in field as soon as possible,Mobile Adaptation Clinic,11.07.24
365,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,To know about Aman rice seedbed,Seedbed should be prepare in this week and seeding within 15th july.,Mobile Adaptation Clinic,11.07.24
366,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,To know about Aman rice seedbed,Seedbed should be prepare in this week and seeding within 15th july.,Mobile Adaptation Clinic,11.07.24
367,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,To know about Aman rice seedbed,Seedbed should be prepare in this week and seeding within 15th july.,Mobile Adaptation Clinic,11.07.24
368,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Slower growth of plant in some place,Weeding should be done and Pheromone trap and yellow sticky trap should be placed in field as soon as possible,Mobile Adaptation Clinic,11.07.24
369,26.06.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Gummy stem blight of bottle gourd,Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning then after 3 days spray insectide.,Mobile Adaptation Clinic,11.07.24
370,07.07.24,Nilganj Adaptation Clinic,Purbo Sonatola,Nilganj,Cowdung in upper side of compost plat is hard and bitter gourd plant damaged by excessive rainfall,Cowdung should be changed and add earth worm within 7 days. Apply mancozeb at bitter gourd field.,Farmers Field,16.7.24
371,10.7.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Cucumber fruit became reddish at early stage,Zypsum fertilizer apply at the base of plant and drainout excessive water imidiately,Adaptation clinic,22.07.24
372,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Excessive weed in base of plant and yellow sticky trap aren't placed properly,Weeding should be done immediately and yellow sticky trap should be placed properly.,Mobile Adaptation Clinic,25.07.24
373,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Yellowish leaf of bitter gourd,Applying Nitrogen fertilizer at the base of bitter gourd and care should be taken that excess water does not accumulate at the base.,Mobile Adaptation Clinic,25.07.24
374,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Mobile Adaptation Clinic,25.07.24
375,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Mobile Adaptation Clinic,25.07.24
376,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Problem in Aman rice seedbed,Provide information about seedbed and drainage system,Mobile Adaptation Clinic,25.07.24
377,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Problem in Aman rice seedbed,Provide information about seedbed and drainage system,Mobile Adaptation Clinic,25.07.24
378,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Problem in Amar Bon bed preparation,Information was given to prepare proper bed according to guideline.,Mobile Adaptation Clinic,25.07.24
379,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,No drainage system in Aman rice seedbed.,By making canal to ensure proper drainage system.,Mobile Adaptation Clinic,25.07.24
380,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Aman rice cultivation,Transplanting should be done at 25-30 days after sedding and follow line logo.,Mobile Adaptation Clinic,25.07.24
381,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Aman rice cultivation,Transplanting should be done at 25-30 days after sedding and follow line logo.,Mobile Adaptation Clinic,25.07.24
382,14.7.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Aman rice cultivation,Transplanting should be done at 25-30 days after sedding and follow line logo.,Mobile Adaptation Clinic,25.07.24
383,16.7.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Farmers Field,31.7.24
384,16.7.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Farmers Field,31.7.24
385,16.7.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Farmers Field,31.7.24
386,16.7.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Farmers Field,31.7.24
387,16.7.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,White fly infection in bittergourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Farmers Field,31.7.24
388,16.7.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,White fly infection in bittergourd and gummy stem blight of bottle gourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon for bittle gourd and Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning then after 3 days spray insectide for bottle gourd.,Farmers Field,31.7.24
389,16.7.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,White fly infection in bittergourd and gummy stem blight of bottle gourd.,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon for bittle gourd and Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning for bottle gourd.,Farmers Field,31.7.24
